Name,Topic,Title,Abstract
"Kaitlynn Ayers, Sydney Gannon, Hunter Smith, Hunter Wetherelt",Biology,Impact of Natural Water Sources on Algal Biodiversity: A Comparison of Lakes and Creeks,"The nutrient content and flow rate of water sources impact the growth and diversity of the microbial species they host. This experiment analyzes how biodiversity of aquatic algae and cyanobacterial communities is affected by different natural water sources, including both lakes and streams, local to Helena. The results of this experiment provide insight into the nutrient content and overall health of local aquatic ecosystems. Four local sources of water were compared: Prickly Pear Creek, Canyon Ferry Lake, Spring Meadow Lake, and tap water as a control. Water samples were filtered to remove existing microorganisms then algal samples from Canyon Ferry Lake were added and left to grow for two weeks. Phosphate and nitrate tests were also performed on the four water samples. Samples were then analyzed for microbial community diversity using 16S rRNA gene sequencing with MinION technology, and patterns community composition were analyzed using MicrobiomeAnalyst. 214,124 reads were classified and showed that Canyon Ferry had the greatest alpha diversity at the phylum level, followed by Spring Meadow, Prickly Pear, and tap water. The data for genus level diversity was not statistically significant with a p-value of 0.181.This research can be expanded by investigating the effect of varying nutrient levels on microorganism diversity at each site over the course of a year. With this data, a better understanding of the local bodies of water is gained and can be used to improve land management practices and wastewater management in the Helena area."
"Delaney Boyle, Kelsey Walker, Liam Lechner, Quinn Stamps, Jamie Burbank",Business: Mangement & Marketing,Improvement of Library to Student Communication Using Six Sigma Methodology,"Utilizing the Six Sigma Methodology of D-M-A-I-C (Define, Measure, Analyze, Improve, and Control) and statistics, we aimed to improve the process associated with the library’s communication of services to students. Our goal in this project was to reduce variation in order to enhance the efficiency of library communication. The project’s scope covered the resources and offerings of the Library & Learning Commons, which includes the Writing Center, Communication Center, and Tutoring Center. We found key variables that created process defects. This project also analyzed multi-media communication, including emails, social media, physical advertisements, speeches, and meetings. "
"Avery Tripp, Laura Ley, Catherine Mack",Nursing,Alcohol Prescription Compared to Pharmacotherapy in Alcoholic Patients,"The purpose of this evidenced-based review is to examine how alcohol prescription, compared to pharmacotherapy, affects healing time for those with alcohol abuse disorder (AUD) during the hospital stay. The problem is relevant for Montana healthcare professionals as alcoholism is a public health issue. Deciding which intervention to implement creates a challenge because both methods have pros and cons. It is crucial to examine both objective and subjective data when looking at this population because addiction has both psychological and psychological components. This being so, it is important for licensed healthcare providers to deliver evidenced-based care in treating those with this diagnosis. Comparing and contrasting research will make it possible to create an environment where the best outcome can be achieved for those with AUD. Whether it be pharmacotherapy or alcohol prescription in the hospital setting, the optimal goal should be to decrease cravings and withdrawal symptoms, improve quality of life and healthcare outcomes, and promote individualized care."
Hank Rugg,Data Science,Machine Learning for Sports Betting,"With sports betting becoming more widely legal, the use of machine learning algorithms for improving an individual’s odds of placing successful sport bets have increased. In general, applying machine learning algorithms comes with challenges such as data selection, feature engineering, and dealing with time series data. In the context of gambling, it also comes with ethical considerations such as the use of such models to gamble, the accuracy of the model, and transparency of the model. This research focuses specifically on predicting the total combined score of NBA games. This is directly applicable to the over/under bet – over if you believe the combined total score will be above the number set by the sports book and under if you believe the combined score will be less than the number set by the sports book. The goal of this research is to create a machine learning model that can accurately predict the total combined score of NBA games and consider the ethical use of the model."
Zoie Koci,Health Science,Arthroscopic Hip Surgery versus Non-Operative Physical Therapy to Repair Acetabular Labral Tears,"Objective: To review current literature regarding arthroscopic hip surgery versus nonoperative physical therapy for treating acetabular tears, comparing recovering time, pain levels, and time it takes to return to sport. Methods: Literature was collected through PubMed, Google Scholar, and CINAHL in the fall of 2023, looking at arthroscopic surgery and nonoperative physical therapy. Advanced searches included acetabular tears in athletes, arthroscopic labral reconstruction, and physical therapy to repair torn labrums. Results: The reviewed literature supported arthroscopic hip surgery in comparison to nonoperative physical therapy to yield better recovery, less pain, and a faster return to sport in individuals with acetabular tears. There were no negative long-term effects from arthroscopic hip surgery. Arthroscopic surgery to repair the labrum also reduced the chances of having the labrum re-tear and decreased the need for open hip surgery. Conclusions: In individuals with acetabular labral tears, arthroscopic hip surgery is more effective and gives better results than nonoperative physical therapy. The surgery did not have any negative impacts on the patients, and yielded quicker recovery time, less pain over a long period of time, and less time out of the sport. "
"Payton West, Weston Mitchum",Nursing,Acupressure Therapy Impact on Chemotherapy-induced Nausea and Vomiting,"Comfort care for cancer patients undergoing chemotherapy treatment is a main concern for the patients and families, but it is also a large focal point for the nurses caring for them. Chemotherapy can lead to a variety of unpleasant side effects. Specifically, uncontrolled nausea and vomiting resulting from the chemotherapy treatment is an ongoing concern. Significant nausea and vomiting may lead to additional health concerns such as fluid and electrolyte imbalances, weight loss, nutritional deficiencies, as well as metabolic changes. These health changes can have a major impact on the patient's physical and mental well-being. Chemotherapy is often a primary treatment for cancer. The purpose of this evidence-based practice brief is to examine and evaluate how acupressure compared to traditional antiemetic medication alone affects the severity and frequency of chemo-induced nausea and vomiting. The outcome of this brief may lend insight to potential evidence-based healthcare practices for cancer patients, specifically providing comfort care to patients experiencing chemo-induced nausea and vomiting. Nurses can use this information to implement the practices of advocacy, education, and protocol/policy change to provide the most effective holistic care possible to this population."
"Nathaniel Gong, Caleb Smith, Willem Trainor",Environmental Science,Associations Between Terracettes and Landscape Factors in Central Montana,"Terracettes are naturally occurring hillside formations of evenly-spaced ridges, resembling stairsteps down a slope. The ridges follow the contour of the slope and are generally smaller than a meter in width and height. Commonly assumed to be the result of livestock trails, multiple studies have suggested other causes such as solifluction, freeze-thaw processes, slope creep, and rotating slump blocks. There is significant controversy over their formation which could be due to terracettes being polygenetic in nature. Previous studies have focused on methods for identifying terracettes, yet hardly venture into formation factors, leaving a large gap in knowledge. The aim of this study is to examine whether the presence of terracettes are associated with one or more landscape factors, such as surface slope and aspect. The strength of these associations might provide insight into terracette formation. In order to control for confounding variables, a study area in Central Montana east of the Continental Divide was selected for similar climate and vegetation. All terracettes within the study area were identified using satellite imagery and mapped in ArcGIS Pro. Geologic, soil, and topographic data were then overlain. Using terracette presence data, distribution curves were derived from each factor, and additional analyses were used in an attempt to determine the strength of associations. Strong or weak associations with individual landscape factors could allow a narrowing of hypotheses regarding the spatial distribution of terracettes in Central Montana. This could provide avenues to pursue further research in determining causality. "
"Katherine Bold, Serena Keil-Hoye",Biochemistry,Annual Comparison of Microbial Communities and Nitrogen Levels,"As water is becoming an extremely scarce resource, it is critical to understand the relationship between Montana’s water resources and the effects of nitrogen on water quality. This experiment aims to characterize the relationship between microbial communities and nitrogen levels in natural and artificial water bodies across Central and Northwest Montana. Higher nitrogen levels were anticipated in artificial water bodies compared to natural bodies of water, with a corresponding difference in microbial community composition. Water samples were collected from eight locations during March 2022, October 2022, and October 2023 for chemical analysis and were sent to Energy Labs to determine nitrate and nitrite levels. October samplings also included sediment collection for microbial analysis. Genomic DNA was extracted, followed by PCR amplification of the 16S rRNA gene and Nanopore sequencing to determine the relative composition of bacterial groups in each sampling location. Here we present findings on patterns of microbial communities among Montana water sources in relation to nitrogen levels across two years of sample collection to address increased concerns regarding the quality of our water sources."
"Caitlyn Vermulm, Alexzandria Hutchison, Katarina Kosiewicz",Nursing,The prevalence of psychosocial health disorders in children born via cesarean section compared to vaginal deliveries,"Babies are delivered every day by either cesarean or vaginal birth. Concerning the modes of delivery, studies have shown an increased risk of neurodivergent conditions worldwide. These studies show that children born via cesarean section are more likely to have autism spectrum disorder, attention deficit hyperactivity disorder, or other learning disabilities, compared to vaginal birth Healthcare providers can screen children born via cesarean delivery earlier for these disorders to provide earlier interventions and resources to the child and family. Early intervention for babies born via cesarean delivery will aid in limiting the impact of these conditions and allow children and their families to adapt to psychosocial barriers. Pediatric patients with conditions such as autism and ADHD have difficulties in social experiences as well as comprehension and learning in the classroom. Promoting awareness of the increased risk and screening of children who were born via cesarean delivery can allow for earlier diagnosis. Autism can present in multiple ways, such as language, motor, and social delays. Children with attention deficit hyperactivity disorder (ADHD) struggle with regulating concentration and restlessness. All learning disabilities can impact the child’s ability to adapt to the outside world and “keep up” with their peers socially and academically. Recognizing that children who were born via cesarean section are at increased risk for these conditions can help families mitigate these challenges. The purpose of this review is to identify and promote awareness to healthcare professionals about the increased risks for psychosocial disorders with children who are born via cesarean birth. "
Tyler Dailey,Chemistry,Synthesis and Study of Carbene Intermediates,"Carbene intermediates are of interest due to their high reactivity, use in carbon-carbon bond-forming reactions, and prevalence in interstellar space. Carbene species are found in comets, atmospheres of carbon stars, and have also been identified in cool molecular gas clouds. Further information about carbene intermediates could inform us about ion-molecular interactions and provide insight into the origin of the universe and its destiny. Applications of carbene intermediates include their use in the synthesis of pharmaceuticals, plastics, and polymers used daily by consumers. This study focuses on the synthesis of sulfonium ylide precursor molecules to malonate and beta-diketone carbene intermediates of interest. Varied steric and electronic properties resulting from different substituents on the derivatives will allow for the investigation of carbene abundance and spin state distribution.  The proposed synthetic pathway includes a two-step synthesis proceeding through a diazo precursor molecule, which will then be used to form the sulfonium ylide. Upon successful synthesis of the sulfonium ylide derivatives, trapping experiments will be performed via photolysis to study the carbene intermediates of interest."
Emily Funseth,Sociology,Mental Health Among Carroll College Students,"This research study examines the relationship between sexuality, religiosity, and perceived levels of social support in relation to suicidal ideation. The data was derived from a survey that was administered to liberal arts students at a small, private, Catholic college. Existing literature suggests that LGBTQ+ students experience higher levels of suicide ideation than their heterosexual peers. The literature also proposes that although religiosity may mitigate these experiences, it also often increases feelings of internalized homophobia, ultimately leading to mental health issues in some. In terms of social support, overall perceived feelings of social support have previously been correlated to fewer experiences with suicidal ideation. This research helps to identify what factors influence suicidal ideation and may be used for intervention on college campuses or even more broadly."
"Madeline Vandehey, Brooke Vandehey, Natalie Bahou",Special Education,Recruitment and Retention of Rural Special Education Teachers: Why They Go and How to Make Them Stay,"Recruiting and retaining qualified special educators is a deficit found in rural America. This project will focus on identifying major contributing factors to teacher “burnout” such as rural America’s isolated environment and the expanded role and responsibilities placed on special education teachers. This is a highly relevant topic for preservice and in-service teachers in Montana, as Montana has a high number of rural communities in comparison to other states. Our research highlights how crucial it is to provide teachers support throughout their careers, as their knowledge, expertise, and attitude will profoundly impact the students entrusted to their care. Therefore, schools nationwide, particularly in rural areas, need to ensure they are hiring and retaining qualified special educators. The Carroll College Library database was utilized to find credible, relevant research.  We categorized, created outlines, and brainstormed together the direction our research would take. Up-to-date studies and research articles have been synthesized to determine crucial problems and potential solutions to this topic. All students, regardless of where they live, and their level of (dis)ability, deserve and have the right to a free, appropriate, enriching, and high-quality public education. This research will help educate our peers here at Carroll, particularly if they are interested in becoming rural special education teachers. It furthermore highlights an issue facing many students and teachers all across the nation - and awareness is the first step to action."
"Ezekiel Bradbury, James Normandeau",Biology,Studying Montana’s Temperature trends and Consistent Stagnant Water Supply: Predictive Analysis for Susceptibility to Malaria Outbreak,"Since June of 2023, the Center for Disease Control (CDC) has reported four cases of locally transmitted malaria in the United States. The vector for the malaria Plasmodium is the Anopheles genus mosquito. Anopheles mosquitoes are typically found in non-arboreal, palustrine wetlands, a habitat that encompasses much of the state of Montana. Given the risk due to the presence of malaria vectors in the state, this study will determine the areas of the state most susceptible to local transmission of the pathogen. We hypothesized that Anopheles's distribution would be positively correlated with higher mean annual temperatures and suitable palustrine water sources greater than 10m2. This experiment utilized 557 Anopheles sites surveyed between 2005-2019 in the state of Montana. To avoid spatial auto-correlation, sites were spatially filtered and compiled into ArcGIS, resulting in 156 replicates. A model was constructed comparing temperature or palustrine habitat availability and a Pearson’s correlation coefficient was calculated for each variable. To capture the amount of palustrine wetland near sites, buffers of 5 kilometers were created in GIS around each mosquito site. Preliminary results suggest that there was a positive correlation between palustrine water habitat and number of Anopheles and mean annual temperature and the number of Anopheles. However, these correlations only explained 14.8% and 1.15% of the variation, respectively."
"Josie Gale, Elissa Mazkour, Elizabeth Kirby, Madelyn Franz, Marrin Chapman",Biology,Comparing Algal Diversity of Potentially Toxic Versus Nutrient-stable Environments In the Greater Helena Area,"The purpose of this experiment was to identify differences in the diversity of algal communities found in environments that have not been exposed to mining pollutants versus those environments that have been exposed to pollutants. Little research has been conducted to determine the impacts of mining on algal diversity. By examining and comparing two different water sources, we are able to elucidate the effect of toxic environments on algal growth and diversity. The main focus of this experiment is to compare the diversity of the 16s gene between a toxic environment, which has been more closely impacted by mining activity, and a more healthy environment which has not been impacted as severely by local mining. From Lake Helena and Prickly Pear Creek, three samples were collected from the respective water surfaces, deep water, and soil (five meters from the water) at each location. The samples collected were amplified via PCR and made identifiable via genomic barcodes. Any contaminants were then removed from the amplified samples. Then samples were added to a sequencing library and input into the MinION for sequencing. The completed sequences were subsequently analyzed through both Epi2me and MicrobiomeAnalyst to quantify the diversity within each sample and identify the primary genera and phyla present in the respective samples. Due to a lack of read counts corresponding to water samples, we excluded this information and focused analysis on soil samples. Our research revealed a greater phyla diversity as well as greater genera diversity present in Prickly Pear Creek soil samples as compared to Lake Helena samples. Though these findings were not statistically significant, Prickly Pear Creek appears to have a more diverse algal community than Lake Helena. In future studies, statistically significant results could be obtained by increasing the amount of samples collected as well as increasing the locations of sample collection."
"Noah Lohar, Max Peed",Biology,Investigating the Effects of Milk Thistle on Sterol Metabolism in Tetrahymena thermophila,"While homeopathic supplements have been used for thousands of years in traditional Eastern medicine, the availability of these supplements has increased dramatically within the last several decades. An area of concern is that these supplements are often sold without clinical evidence of their effectiveness or regulatory oversight from the Federal Drug Administration (FDA). This study aimed to explore the proposed hypolipidemic effects of Milk Thistle extract, also known as silymarin, on sterol metabolism in Tetrahymena thermophila. We hypothesized that a silymarin-induced decrease in T. thermophila cholesterol levels would result in the downregulation of genes involved in sterol metabolism, specifically DES5 and DES7. The DES5 and DES7 genes encode for C-5(6) sterol desaturase and C-7(8) sterol desaturase, respectively, and their encoded enzymes catalyze the conversion of most sterol species in T. thermophila. To test our hypothesis, T. thermophila cells were treated with either control media or silymarin supplemented media for 48 hours. Following treatment, behavioral assays were performed to determine the effect of silymarin on membrane fluidity, cell signaling, and cilia composition. Furthermore, Reverse Transcription quantitative Polymerase Chain Reaction (RT-qPCR) was performed to measure expression of the DES5 and DES7 genes. The silymarin treatment was predicted to lower DES5 and DES7 expression due to decreased availability of cholesterol and subsequent sterol species. Also, we predicted lower cell motility due to reduced membrane fluidity, impaired cell signaling, and slower cilia growth compared to control groups."
"Olivia Smith, Sarah Early, Gunner Gleasman",Special Education,Equity in Gifted Education: Overcoming Underrepresentation,"Underrepresentation in gifted education impacts the long-term academic results of students from historically marginalized groups. The identification of high-ability learners is significantly affected by systemic biases against ethnicity, race, and socioeconomic status. Factors such as deficit thinking, colorblind ideology, and white privilege contribute to the perpetuation of this disproportionate representation. Disproportionality is exacerbated by limiting access to advanced experiences, maintaining inequality, and reinforcing systemic disadvantages. By hindering access to learning opportunities, gifted marginalized students face significant challenges in achieving post-secondary success and a lack of vocational, social, and economic pathways. There have been efforts to address these issues, such as redefining giftedness, using universal screening measures, and implementing culturally responsive teaching practices in the classroom. Researchers also stress the importance of early intervention and policy reforms to ensure equal access to gifted education services. Using local norms for identification, which compares student academic performance to their same-grade peers at their school instead of national standards, could lead to a more diverse population of gifted students. To effectively tackle the lasting problem of underrepresentation in gifted education, a shift in educational practices and societal perceptions of diversity in education is necessary. This project will examine, “To what extent does underrepresentation in gifted education impact the long-term academic outcomes of students from historically marginalized groups?”"
"Norbert Karczewski, Abrianna Burrows",Environmental Science,Cemeteries and the Soil Record,"This study investigates the potential of utilizing cemeteries as a relatively undisturbed record of historical and geographic urban lead levels. Helena and East Helena have, at different times, been known for larger scale production and distribution of lead, among other industrial products. Possible lead sources range from the old smelter, the transportation of lead via railway, to driving cars with gasoline containing lead. We hypothesize that the impact and distribution of these historical lead sources may be preserved within Helena’s cemeteries. We aim to address the question: “Can cemeteries be used as a tool to assess historical lead levels?” Our study employs a systematic approach by selecting cemeteries located along temporal and spatial gradients in and round the city of Helena. In each cemetery, we will identify peripheral areas suitable for the study. Where possible, soils will be collected along transects roughly perpendicular to suspected sources, with location recorded by GPS. Soils will be analyzed using a Niton XL2 Plus Handheld XRF Analyzer to determine the presence and amount of lead and other contaminants. Results of this analysis will be presented as a map indicating notable variations in soil lead level, if present, within the cemetery. This research not only sheds light on past lead exposure but also underscores the potential of cemeteries as valuable repositories of historical environmental data. Such insights hold significance for informing future urban planning strategies and public health interventions aimed at mitigating lead exposure risks."
"Audrey Parkey, Liam Lynch",Biology,Elucidating Osteoarthritis Endotypes in Human Synovial Fluid via Global Metabolomic Profiling,"Osteoarthritis (OA) poses a challenge to human health by causing progressive joint degradation and associated symptoms. The complex interplay of risk factors such as joint trauma, abnormal joint loading, obesity and advanced age underscore the need to better define OA phenotypes for targeted treatment options. The aim of this study was to identify and characterize metabolic phenotypes of OA. Synovial fluid (SF) samples from the Carroll College IRB-approved biobank were utilized in this study. Ten healthy post-mortem samples were designated as controls, and 12 SF samples from living patients diagnosed with OA were analyzed as the experimental group. Metabolites were extracted from the fluid, and analyzed at Montana State University using liquid chromatography-mass spectrometry (LC-MS). Unsupervised statistical methods were used to identify subgroups of OA patients as possible metabolic phenotypes. Supervised statistical methods were employed to identify key metabolites differentiating between subgroups which were then mapped to metabolic pathways. Our findings reveal distinct groupings of OA patients, identified as Group 1 (G1) and Group 2 (G2). Group 1 exhibited increased joint effusion and decreased metabolism of amino acids like lysine in the SF. Conversely, G2 was characterized by reduced joint effusion and decrease of both amino acid and fatty acid metabolism. The results suggest that treatment based on lysine and fatty acid metabolism profiles could serve as a basis for optimal clinical intervention tailored to individual OA metabolic phenotypes."
"Noel Teders, Audrey Narum, Jacque Malheiros",Nursing,Various Healthcare Responses to the Opioid Crisis,"Today, the United States faces one of the deadliest epidemics: the opioid crisis. Citizens of the United States have access to opioids through various means including inappropriate prescribing and through illegal use. With these controlled substances at peoples’ fingertips, there is extreme susceptibility to overdose. With the high likelihood of overdose amongst users who abuse, preparedness to reverse an overdose can mean the difference between life and death. While both EMS services and hospital services are trained to treat overdoses, more research is needed to determine how different practices and environments affect end results. This review will use research articles studying the effectiveness of both EMS and hospital responses to determine current patient outcomes. By examining the effectiveness of EMS and hospital responses to overdose, this review can help the healthcare system identify areas where further education is needed. Furthermore, the goal of this review is to inform policymakers of discrepancies in knowledge, improve treatment and response protocols, and improve overall short and long-term outcomes of the opioid overdose patient."
Maggie Young,Anthrozoology,The Power of Paws: A Literature Review of Therapy Dogs in the Hospital Setting,"Since 1980, animal-assisted interventions, defined as the valuable utilization of specially trained animals in services to improve human health, have gained popularity in the hospital setting. This literature review examines the role of therapy dogs in hospitals, specifically focusing on their impact on patients' pain, anxiety, depression, and cardiopulmonary pressures. The results of randomized data and survey data suggest that patients and their families who interacted with therapy dogs experienced significant reductions in these symptoms, as well as, increased motivation to participate in group sessions and fewer emotional behaviors and outbursts compared to those without therapy dog visitations. Additionally, a high percentage of patients in the Emergency Department expressed a desire for therapy dogs to be present during their treatments. These findings highlight the benefits of animal-assisted interventions in hospitals and support the need for further research in this area. Keywords: animal-assisted intervention, therapy dogs, hospitals"
Julian Betz,Health Science,Effects of Probiotic Treatment for Attention Deficit/Hyperactivity Disorder,"Objective: To review relevant literature regarding probiotic treatment for individuals with Attention Deficit/Hyperactivity Disorder (ADHD) as an alternative to treatment with stimulant medication.Methods: This literature was gathered through PubMed and CINAHL in the Fall of 2023 and assessed for the effects of probiotic treatments in comparison to more commonly prescribed stimulant medications. Interventions included various probiotics including Synbiotic 2000, Lactobacillus rhamnosus GG, Saffron, and others.Results: Probiotic intervention as a form of treatment for ADHD showed significant evidence improving sleep, decreasing side effects of the disease, as well as improving overall quality of life.Discussion: The use of probiotics when treating ADHD had significantly positive outcomes when used as an alternative to pharmacotherapy. These results included improved sleep, increased cognitive functioning, and decreased attention hyperactivity The findings of this review can be used to guide patients with ADHD or their caretakers when considering probiotic treatments for their disorder to avoid the common adverse effects of medication treatments which include lack of sleep and decreased appetite. Some beneficial outcomes resulting from probiotic treatment of ADHD includes increased gut microbiome which results in improving sleep quality, cognitive functioning, and overall quality of life for individuals suffering from this disorder."
"Elliot Wald, Macie Holmes",Neuroscience,Smell That? The effects of Aromatherapy on Drosophila melanogaster Behavior,"Homeopathic remedies are hailed as non-pharmacological, cheap alternatives to more expensive pharmaceutical treatments. Essential oils are an example of a homeopathic therapy that people use to improve their moods or boost their energy. Currently, there is a lack of research surrounding the quantitative effects of essential oils on mood and energy, as most reports about their functionality are qualitative. In this study, different aromatherapy treatments were tested on the model organism Drosophila melanogaster (fruit flies) to see how they impacted fly behaviors related to energy and mood. The oils tested were pure lavender, which claims to have a calming effect, and lemon, which claims to have an energizing effect. To generate doses that were physiologically relevant for the fruit flies, these extracts were diluted in a carrier jojoba oil. To observe the effects of these essential oils on fly behavior, three assays were performed to measure energy levels, feeding behavior, and grooming behavior. It was expected that the lemon aromatherapy would increase energy, feeding, and grooming behaviors in the flies while the lavender aromatherapy would result in opposing effects. Our findings suggest that both the lemon and lavender treatments caused a significant increase in energy and feeding behavior when compared to control groups."
Allison Bullman,Anthrozoology,How Pigs Can Help Deer: Analysis of Urban Deer Management Techniques Concerning Contraception as a Potential Effective Method of Control,"Given the increasing number of deer finding their way into urban cities, many conflicts have arisen that have caused human economic loss and an increase in concern about safety. From this, there has been a push to find methods to manage these urban deer populations, especially as they overpopulate. Upon further analysis of different sources of literature, five groups of management methods are used across the United States: (1) public management, (2) sharpshooting and managed hunts, (3) culling, (4) live capture and release, and (5) contraception; all with many different viewpoints associated with public perception, effectiveness and consistency, financial concern, and ethical analysis. These management methods will be discussed concerning the conflicts deer have caused in urban cities, specifically focusing on the urban deer population management plan of Helena, MT. Lastly, further discussion of contraception, looking specifically at experimental contraceptive Porcine Zona Pellucida (PZP), as a method to managing urban deer populations creates a push towards further analysis of research on the topic to better give evidence to this potentially effective and humane method of urban deer population management that can check off all of the boxes of concern."
Lily Hoelscher,Gender Studies,The Transmutation of Woman: An Examination of Female Otherness and Gender Performance,"Woman has been maligned, erased, and constructed as the “lesser sex” since the early ages of human civilization. Only in more recent years has there been any success in overturning this narrative, and the steps that have been made still leave much to be desired. Equality appears a long distance away yet, even if studies show that the male and female brain really are no different from one another, and even chromosomal sex designations exist on a varied spectrum and not a simple binary. Human beings are more alike than they are different, and as put forth by Judith Butler in Gender Trouble, gendered social presentation is simply how a person acts in public based upon how they identify, or have been told they should identify. The seventeenth-century Spanish play Valor, agravio y mujer treats the subject of gendered presentation in its overturning of roles as Leonor, the heroine, dresses as a man and in essence becomes man to exact revenge upon Don Juan, who stole her honor and abandoned her. For all intents and purposes, Leonor becomes more man than woman in her conduct and social role, effectively distancing herself from that feminine state of the “other” which has been examined in many feminist works for decades. Using the example of this piece of literature, the lenses of such authors as Butler, Simone de Beauvoir, Luce Irigaray, and others will illuminate the blurred lines of gender and the systems that so starkly isolate woman in her “otherness”."
Clare Daley,Hispanic Studies,"Master and Servant, Servant and Master: Social-Class Colonialism and its Effect in the Duties of the “Sidekick” in the Spanish Golden Age Theatre","In Don Quijote de la Mancha, by Miguel de Cervantes Saavedra, Don Quixote and Sancho Panza tackle imaginary evils. However, both characters represent real struggles through their dynamic of servant and master. As in Don Quijote, other hispanic art—especially theatre from El Siglo de Oro español (“the Spanish Golden Age”)— explores this connection between social classes. El burlador de Sevilla y convidado de piedra, by Tirso de Molina, is where the infamous Don Juan first appears along with Catalinón, who’s warnings are not heeded; Valor, agravio, y muger, by Ana Caro de Mallén, has disguised Leonor seeking justice with trusty Ribete; and lastly La vida es sueño, by Pedro Calderon de la Barca, involves King Basillo locking his son away and when the people seek their heir, servant Clarín is mixed up in it all. In his The Politics of Aesthetics, Jacques Rancière states “[a]rtistic practices are ‘ways of doing and making’ that intervene in the general distribution of ways of doing and making as well as in the relationships they maintain to modes of being and forms of visibility.” Taking this idea into consideration, what do the sidekicks’ modes of being and forms of visibility symbolize in Hispanic theatre, and how do class stereotypes reveal the social dynamics between a servant and a master? I argue that the role of the “sidekick” is an analogy for people who are underestimated due to their social class, and who are the subjects of a regime of  “social-class colonialism”, which is the oppression from outside forces such as colonizers with the particular bias against monetary privilege and favors the upper classes."
Kiki Bourekis,Biology,Identifying Metabolic Differences in Males and Females Affected by Osteoarthritis,"Osteoarthritis (OA) is the most common joint disease in the body, characterized by limited mobility due to the degradation of cartilage. Age, weight, and genetic profiles have been identified as clear risk factors for OA; women are more likely to suffer from OA compared to men. While previous research indicates that postmenopausal women have an increased likelihood of developing OA due to decreasing estrogen, few studies have investigated metabolic differences between diseased males and females. This study seeks to understand the differences between the global metabolic profiles of males and females with OA. In order to investigate metabolic discrepancies, metabolites were extracted from joint-effusion-related OA synovial fluid. Global metabolomic profiling by liquid chromatography-mass spectrometry (LC-MS) was then employed to identify significant metabolic differences between sexes. The results of this study suggested a distinct metabolic response to OA in males and females, most notably a significant difference between fatty acid and amino acid metabolism. This study provided a greater understanding of metabolism in OA pathogenesis and suggested opportunities for more individualized, therapeutic interventions that target sex differences. In the future, researchers should replicate this experiment with a larger sample size and employ targeted metabolomics to further elucidate the role of fatty acid metabolism in OA responses."
Maile Allzer,Nursing,The Impact of Mindfulness on Stress in Healthcare Professionals,"The American Association of Colleges of Nursing (AACN) reports that within the next 5 years, 25% of practicing nurses are going to switch careers or retire. Close to 2/3 of the nurses practicing today experience burnout for a variety of different reasons, the biggest being perceived stress. Perceived stress is defined as the subjectivity of stress and how a person experiences it. The subjectivity of perceived stress can be beneficial because it provides an opportunity to impact someone’s thinking through non-invasive and easily implementable measures. A decrease in perceived stress can then translate to decreased burnout. One of the ways suggested to fight this stress and burnout in the nursing profession is through mindfulness. Mindfulness teaches that one can respond in a positive way, even to stressful situations, through self regulation and interpersonal skills. This comes from Buddhist teachings and was defined as “paying purposeful and conscious attention to the present, without judging current concepts” (Chen et. al., 2021, para 3). Researchers have found that a nurse successfully implementing mindfulness in their daily life can better manage their mood, states, well-being, attention, and consciousness. The purpose of this Evidence-Based Practice review is to evaluate the effects that mindfulness interventions have on healthcare professionals’ stress across the world."
Anna Russell,Gender Studies,Exploring the Realities of Sex and Sexuality in Women’s Prisons,"The sexual lives of female inmates are impacted by strip searches, imbalanced power dynamics, violence, and isolation. This study uses existing literature as the methodological foundation. Erving Goffman's theories of contamination in total institutions and Luce Irigaray’s theories on sexuality provide the theoretical framework to make sense of women’s experiences of sex and sexuality within the prison system. The research in this study focuses on four main factors; strip searches, imbalanced power dynamics, sexual violence, and isolation from the outside world. By focusing on strip searches, power dynamics, and sexual violence, this study aims to show how women experience forced sex or expressions of sexuality in the prison system. Alternatively, the factor of isolation aims to show how women experience restricted sexual expression while having limited interaction with the outside world."
Thomas Louie,Communications,Straw Dogs: Sam Peckinpah’s Cultural Meditation on Violence and Masculinity,"The removal of the Hollywood Film Production Code in 1968 spawned a new era of filmmakers that challenged many American social norms. Among these filmmakers was Sam Peckinpah, who’s revolutionary film Straw Dogs explored masculinity, clashing cultures, and gender dynamics in all its dark, violent nature. Following a mild-mannered mathematician who slowly falls into a cycle of violence, Straw Dogs captures the long held notion that to be a man requires violent rites of passage, and that love, family, and home are sacrificed in these brutal tests of manhood. Still a very controversial film to this day for its portrayal of violence, misogyny, and depravity, Straw Dogs provides a unique case study for aggression theory, and whether these masculine behaviors are intrinsic or learned. In a film that holds a mirror up to society, condemning it as crude, violent, and uncivilized, Sam Peckinpah displays the harsh nature of masculinity and violence, but leaves it up to the viewer as to how it needs to be addressed."
